代码全称,代码,名称,最新价,涨跌额,涨跌幅%,今开,最高,最低,昨收,成交量(股),成交额,换手率%,市盈率,市净率,总市值(万),流通市值(万),行情时间,交易日期,数据来源
bj920000,920000,安徽凤凰,13.680,0.13,0.959,13.550,13.840,13.550,13.550,325836,4468879,0.56575,19,1.836,125418.24,78788.4894,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920001,920001,纬达光电,11.700,-0.3,-2.5,11.900,12.490,11.510,12.000,4894020,57288341,5.43463,-90,2.56,179765.94168,105361.44138,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920002,920002,万达轴承,50.020,0.1,0.2,49.660,50.710,49.660,49.920,787314,39435965,1.76539,36.246,4.194,318648.18331,223074.959306,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920003,920003,中诚咨询,15.260,0.29,1.937,14.940,15.500,14.940,14.970,517313,7861122,2.65746,7.99,2.316,138255.6,29705.75692,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920005,920005,鼎佳精密,23.790,0.67,2.898,23.260,23.860,23.170,23.120,280483,6621618,0.73211,27.663,3.143,197457,91143.589017,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920006,920006,晟楠科技,17.920,0.19,1.072,17.730,18.490,17.620,17.730,2601539,47011875,5.44288,199.111,5.224,161794.6624,85652.424704,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920007,920007,酉立智能,33.040,0.99,3.089,32.030,33.090,32.030,32.050,159166,5213269,1.35967,13.486,2.263,147135.2148,38677.45,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920008,920008,成电光信,21.840,-0.09,-0.41,22.200,22.280,21.560,21.930,1558096,34009380,4.5734,85.883,4.377,139230,74406.025512,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920009,920009,丹娜生物,34.520,0.65,1.919,33.970,34.950,33.950,33.870,206565,7130186,2.04926,17.26,3.844,267688.792,34796.16,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920010,920010,凯添燃气,8.830,-0.05,-0.563,8.810,9.020,8.750,8.880,6466520,57151379,3.71162,73.583,2.953,207063.5,153839.662199,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920011,920011,晨光电机,18.210,0.55,3.114,17.840,18.300,17.640,17.660,902258,16251835,4.85085,12.06,1.746,150536.000607,33870.601821,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920012,920012,创达新材,49.960,1.41,2.904,49.300,50.280,48.730,48.550,706883,35148866,3.66308,28.226,2.91,246389.63048,96410.35996,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920014,920014,特瑞斯,8.640,0.1,1.171,8.550,8.670,8.550,8.540,684533,5911698,1.02097,123.429,1.354,105284.225952,57928.865472,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920015,920015,锦华新材,38.040,0.15,0.396,38.380,38.390,37.720,37.890,1349754,51370613,3.37334,20.922,3.06,515695.601268,152207.32176,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920016,920016,中草香料,14.910,-0.52,-3.37,15.250,15.250,14.670,15.430,3807071,56799642,11.11969,59.64,2.924,114780.056139,51047.692038,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920017,920017,星昊医药,15.670,0.15,0.966,15.650,15.850,15.480,15.520,1366362,21423169,1.11476,18.655,1.189,194139.574139,192067.059939,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920018,920018,宏远股份,14.610,0.23,1.599,14.400,14.630,14.400,14.380,578607,8430406,0.8838,14.184,2.506,241837.040613,95649.059193,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920019,920019,铜冠矿建,15.250,0.35,2.349,15.080,15.370,14.960,14.900,1969251,30004653,1.17542,80.263,3.404,320656.7175,255491.89065,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920020,920020,泰凯英,14.690,0.15,1.032,14.640,14.780,14.530,14.540,231692,3392093,0.41671,15.57,2.793,330444.205,81677.723569,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920021,920021,流金科技,8.080,-0.07,-0.859,8.020,8.160,7.950,8.150,23535982,189213182,9.50739,269.333,3.866,249671.986264,200024.175784,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920022,920022,世昌股份,18.770,0.02,0.107,18.940,18.950,18.550,18.750,634184,11861568,3.81694,12.682,2.693,113222.517,31186.355,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920023,920023,*ST田野,1.410,0,0,1.410,1.430,1.400,1.410,3383246,4774328,1.25861,37.105,0.382,46149.864,37902.00273,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920026,920026,卓兆点胶,17.470,0.37,2.164,17.270,17.550,17.200,17.100,849115,14741756,0.98025,27.73,3.171,200744.527568,151328.873339,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920027,920027,交大铁发,11.490,0.1,0.878,11.310,11.540,11.300,11.390,686071,7850641,0.95223,17.953,2.565,118306.26795,82784.214825,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920028,920028,新恒泰,15.410,0.49,3.284,14.810,15.530,14.810,14.920,2309792,35163236,3.55574,17.122,2.18,253278.76,100102.7436,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920029,920029,开发科技,32.060,0.54,1.713,31.820,32.290,31.560,31.520,452387,14435836,0.22466,5.85,1.797,663453.272398,645575.574448,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920030,920030,德众汽车,4.610,-0.13,-2.743,4.650,4.820,4.580,4.740,5240759,24504455,4.67606,-27.118,1.882,82445.092941,51667.256358,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920033,920033,康普化学,13.450,0.12,0.9,13.450,13.580,13.300,13.330,455390,6118882,0.54977,70.789,2.053,160236.91125,111409.382975,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920035,920035,精创电气,24.230,0.57,2.409,23.470,24.320,23.470,23.660,489594,11748027,3.11114,18.218,2.881,168204.66,38130.2664,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920036,920036,觅睿科技,32.370,1.79,5.853,30.790,32.550,30.710,30.580,1097747,34946935,8.40459,16.686,2.935,176163.453999,42279.353649,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920037,920037,广信科技,37.610,0.44,1.184,37.440,37.830,37.210,37.170,560923,21071236,0.71649,15.165,5.29,481588.795031,294440.90473,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920038,920038,森合高科,38.600,1.02,2.714,38.000,39.000,37.600,37.580,4432611,170130029,8.32936,12.1,3.503,403390.07586,205416.38866,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920039,920039,国义招标,7.530,0.13,1.757,7.400,7.550,7.400,7.400,625806,4694807,0.40684,37.65,2.164,115826.46,115826.3847,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920045,920045,蘅东光,570.990,14.99,2.696,570.980,570.990,538.880,556.000,2025231,1124311779,7.18714,108.347,29.132,5441544.235533,1608966.969351,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920046,920046,亿能电力,20.110,0.19,0.954,19.950,20.420,19.950,19.920,2809845,56649717,5.02413,134.067,8.012,203412.65,112469.271407,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920047,920047,诺思兰德,14.870,0.26,1.78,14.680,15.080,14.600,14.610,2912615,43385659,1.61716,-74.35,16.341,407842.425338,267818.256949,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920050,920050,爱伦医疗,28.340,0.66,2.384,27.640,28.470,27.640,27.680,175186,4945323,0.96774,15.319,1.83,191803.232556,51302.912934,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920055,920055,隆源股份,25.810,0.6,2.38,25.380,25.880,25.220,25.210,418518,10731016,2.73541,9.218,1.443,175508,39489.3,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920056,920056,能之光,14.340,0.42,3.017,14.000,14.340,14.000,13.920,559749,7936444,1.17448,18.385,2.173,117145.8978,68343.502164,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920057,920057,百甲科技,4.700,0.05,1.075,4.630,4.720,4.630,4.650,969583,4535698,0.83203,94,1.19,85193.74959,54770.20215,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
